Var1,Var2
EX_12dhchol[e],Exchange/demand reactions
EX_1a25dhvitd3[e],Exchange/demand reactions
EX_23cump[e],Exchange/demand reactions
EX_2hyoxplac[e],Exchange/demand reactions
EX_3dhcdchol[e],Exchange/demand reactions
EX_3dhchol[e],Exchange/demand reactions
EX_3dhdchol[e],Exchange/demand reactions
EX_3dhlchol[e],Exchange/demand reactions
EX_3hpvs[e],Exchange/demand reactions
EX_3ump[e],Exchange/demand reactions
EX_4hpro[e],Exchange/demand reactions
EX_7dhcdchol[e],Exchange/demand reactions
EX_7dhchol[e],Exchange/demand reactions
EX_7klitchol[e],Exchange/demand reactions
EX_C02528[e],Exchange/demand reactions
EX_C04849[e],Exchange/demand reactions
EX_CE0074[e],Exchange/demand reactions
EX_CE1273[e],Exchange/demand reactions
EX_CE1447[e],Exchange/demand reactions
EX_CE2250[e],Exchange/demand reactions
EX_CE2510[e],Exchange/demand reactions
EX_CE2537[e],Exchange/demand reactions
EX_CE2705[e],Exchange/demand reactions
EX_CE2915[e],Exchange/demand reactions
EX_CE2916[e],Exchange/demand reactions
EX_CE2917[e],Exchange/demand reactions
EX_CE4722[e],Exchange/demand reactions
EX_CE4723[e],Exchange/demand reactions
EX_CE4724[e],Exchange/demand reactions
EX_CE4877[e],Exchange/demand reactions
EX_CE5025[e],Exchange/demand reactions
EX_CE5026[e],Miscellaneous
EX_CE5867[e],Exchange/demand reactions
EX_CE5868[e],Exchange/demand reactions
EX_CE5869[e],Exchange/demand reactions
EX_CE7085[e],Exchange/demand reactions
EX_CE7090[e],Exchange/demand reactions
EX_CE7096[e],Exchange/demand reactions
EX_HC00004[e],Exchange/demand reactions
EX_HC00822[e],Exchange/demand reactions
EX_HC00955[e],Exchange/demand reactions
EX_HC01440[e],Exchange/demand reactions
EX_HC01441[e],Exchange/demand reactions
EX_HC01446[e],Exchange/demand reactions
EX_HC01577[e],Exchange/demand reactions
EX_HC01609[e],Exchange/demand reactions
EX_HC01610[e],Exchange/demand reactions
EX_HC01700[e],Exchange/demand reactions
EX_HC01939[e],Exchange/demand reactions
EX_HC02160[e],Exchange/demand reactions
EX_HC02161[e],Exchange/demand reactions
EX_HC02180[e],Exchange/demand reactions
EX_HC02191[e],Exchange/demand reactions
EX_HC02194[e],Exchange/demand reactions
EX_HC02195[e],Exchange/demand reactions
EX_HC02196[e],Exchange/demand reactions
EX_HC02197[e],Exchange/demand reactions
EX_HC02198[e],Exchange/demand reactions
EX_HC02199[e],Exchange/demand reactions
EX_HC02200[e],Exchange/demand reactions
EX_HC02201[e],Exchange/demand reactions
EX_HC02220[e],Exchange/demand reactions
EX_Lkynr[e],Exchange/demand reactions
EX_M00003[e],Exchange/demand reactions
EX_M00008[e],Exchange/demand reactions
EX_M00010[e],Exchange/demand reactions
EX_M00017[e],Exchange/demand reactions
EX_M00019[e],Exchange/demand reactions
EX_M00021[e],Exchange/demand reactions
EX_M00115[e],Exchange/demand reactions
EX_M00117[e],Exchange/demand reactions
EX_M00234[e],Exchange/demand reactions
EX_M00260[e],Exchange/demand reactions
EX_M00265[e],Exchange/demand reactions
EX_M00315[e],Exchange/demand reactions
EX_M00341[e],Exchange/demand reactions
EX_M00503[e],Exchange/demand reactions
EX_M00510[e],Exchange/demand reactions
EX_M01197[e],Exchange/demand reactions
EX_M01207[e],Exchange/demand reactions
EX_M01235[e],Exchange/demand reactions
EX_M01238[e],Exchange/demand reactions
EX_M01582[e],Exchange/demand reactions
EX_M01807[e],Exchange/demand reactions
EX_M02053[e],Exchange/demand reactions
EX_M02457[e],Exchange/demand reactions
EX_M02613[e],Exchange/demand reactions
EX_M02745[e],Exchange/demand reactions
EX_M02956[e],Exchange/demand reactions
EX_M03045[e],Exchange/demand reactions
EX_M03051[e],Exchange/demand reactions
EX_M03153[e],Exchange/demand reactions
EX_N1aspmd[e],Exchange/demand reactions
EX_acgal[e],Exchange/demand reactions
EX_acmp[e],Exchange/demand reactions
EX_acmpglu[e],Exchange/demand reactions
EX_acmpglut[e],Exchange/demand reactions
EX_acnam[e],Exchange/demand reactions
EX_acrn[e],Exchange/demand reactions
EX_adrn[e],Exchange/demand reactions
EX_ahcys[e],Exchange/demand reactions
EX_alaargcys[e],Exchange/demand reactions
EX_alaarggly[e],Exchange/demand reactions
EX_alaasnleu[e],Exchange/demand reactions
EX_alaglylys[e],Exchange/demand reactions
EX_alahisala[e],Exchange/demand reactions
EX_alalysthr[e],Exchange/demand reactions
EX_allop[e],Exchange/demand reactions
EX_amet[e],Exchange/demand reactions
EX_arach[e],Exchange/demand reactions
EX_arachcoa[e],Exchange/demand reactions
EX_arachd[e],Exchange/demand reactions
EX_argalaala[e],Exchange/demand reactions
EX_argalaphe[e],Exchange/demand reactions
EX_argalathr[e],Exchange/demand reactions
EX_argarg[e],Exchange/demand reactions
EX_argarglys[e],Exchange/demand reactions
EX_argargmet[e],Exchange/demand reactions
EX_argcysgly[e],Exchange/demand reactions
EX_argcysser[e],Exchange/demand reactions
EX_arggluglu[e],Exchange/demand reactions
EX_argglupro[e],Exchange/demand reactions
EX_argglygly[e],Exchange/demand reactions
EX_arghisthr[e],Exchange/demand reactions
EX_argleuphe[e],Exchange/demand reactions
EX_arglysasp[e],Exchange/demand reactions
EX_argphearg[e],Exchange/demand reactions
EX_argpromet[e],Exchange/demand reactions
EX_argprothr[e],Exchange/demand reactions
EX_argserser[e],Exchange/demand reactions
EX_argtyrval[e],Exchange/demand reactions
EX_argvalcys[e],Exchange/demand reactions
EX_argvaltrp[e],Exchange/demand reactions
EX_asnasnarg[e],Exchange/demand reactions
EX_asncyscys[e],Exchange/demand reactions
EX_asnmetpro[e],Exchange/demand reactions
EX_asnpheasp[e],Exchange/demand reactions
EX_asnphecys[e],Exchange/demand reactions
EX_asntyrgly[e],Exchange/demand reactions
EX_asntyrphe[e],Exchange/demand reactions
EX_asntyrthr[e],Exchange/demand reactions
