Var1,Var2
HMR_4075,Arginine and proline metabolism
HMR_4077,Arginine and proline metabolism
HMR_4078,Beta-alanine metabolism
HMR_4079,Beta-alanine metabolism
HMR_4080,Purine metabolism
HMR_4081,Purine metabolism
HMR_4082,Purine metabolism
HMR_4083,Nucleotide metabolism
HMR_4084,Sulfur metabolism
HMR_4085,Purine metabolism
HMR_4086,Purine metabolism
HMR_4087,Pyruvate metabolism
HMR_4089,Pyruvate metabolism
HMR_4091,Pyruvate metabolism
HMR_4097,Glycolysis / Gluconeogenesis
HMR_4103,Pyruvate metabolism
HMR_4108,Glycolysis / Gluconeogenesis
HMR_4109,"Alanine, aspartate and glutamate metabolism"
HMR_4111,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4112,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4113,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4114,"Alanine, aspartate and glutamate metabolism"
HMR_4115,"Alanine, aspartate and glutamate metabolism"
HMR_4116,Glutathione metabolism
HMR_4118,"Alanine, aspartate and glutamate metabolism"
HMR_4120,Glutathione metabolism
HMR_4121,Glutathione metabolism
HMR_4122,Starch and sucrose metabolism
HMR_4124,Amino sugar and nucleotide sugar metabolism
HMR_4127,Pyrimidine metabolism
HMR_4128,Galactose metabolism
HMR_4130,Galactose metabolism
HMR_4131,Galactose metabolism
HMR_4132,Galactose metabolism
HMR_4133,Glycolysis / Gluconeogenesis
HMR_4134,Purine metabolism
HMR_4135,Purine metabolism
HMR_4136,Nucleotide metabolism
HMR_4137,Glycolysis / Gluconeogenesis
HMR_4139,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4141,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4143,Pyruvate metabolism
HMR_4145,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4147,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4149,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4152,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4156,Fatty acid biosynthesis (even-chain)
HMR_4158,Amino sugar and nucleotide sugar metabolism
HMR_4159,Amino sugar and nucleotide sugar metabolism
HMR_4160,Biopterin metabolism
HMR_4162,Biopterin metabolism
HMR_4163,Biopterin metabolism
HMR_4165,Biopterin metabolism
HMR_4166,Biopterin metabolism
HMR_4167,Biopterin metabolism
HMR_4168,Purine metabolism
HMR_4169,Biopterin metabolism
HMR_4170,Biopterin metabolism
HMR_4171,Purine metabolism
HMR_4174,Beta-alanine metabolism
HMR_4175,Glutathione metabolism
HMR_4176,Glutathione metabolism
HMR_4177,Pyrimidine metabolism
HMR_4179,Pyrimidine metabolism
HMR_4180,Nucleotide metabolism
HMR_4182,Pyrimidine metabolism
HMR_4183,Pyrimidine metabolism
HMR_4184,Transport reactions
HMR_4185,Nucleotide metabolism
HMR_4186,Nucleotide metabolism
HMR_4187,Sulfur metabolism
HMR_4189,Cysteine and methionine metabolism
HMR_4192,Pyrimidine metabolism
HMR_4193,Pyruvate metabolism
HMR_4194,Pyrimidine metabolism
HMR_4196,"Alanine, aspartate and glutamate metabolism"
HMR_4197,"Alanine, aspartate and glutamate metabolism"
HMR_4198,"Glycine, serine and threonine metabolism"
HMR_4201,Miscellaneous
HMR_4202,Miscellaneous
HMR_4204,Thiamine metabolism
HMR_4206,Thiamine metabolism
HMR_4207,Thiamine metabolism
HMR_4208,Thiamine metabolism
HMR_4209,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4210,Pyrimidine metabolism
HMR_4211,Pyrimidine metabolism
HMR_4212,Arginine and proline metabolism
HMR_4214,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4216,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4218,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4219,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4220,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4222,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4224,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4225,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4239,Lysine metabolism
HMR_4242,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4243,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4244,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4246,"Phenylalanine, tyrosine and tryptophan biosynthesis"
HMR_4252,Nicotinate and nicotinamide metabolism
HMR_4253,Nicotinate and nicotinamide metabolism
HMR_4255,Nicotinate and nicotinamide metabolism
HMR_4257,Nicotinate and nicotinamide metabolism
HMR_4260,Nicotinate and nicotinamide metabolism
HMR_4261,Nicotinate and nicotinamide metabolism
HMR_4262,Nicotinate and nicotinamide metabolism
HMR_4263,Nicotinate and nicotinamide metabolism
HMR_4264,Nicotinate and nicotinamide metabolism
HMR_4265,Nicotinate and nicotinamide metabolism
HMR_4266,Transport reactions
HMR_4267,Nicotinate and nicotinamide metabolism
HMR_4269,Nicotinate and nicotinamide metabolism
HMR_4270,Nicotinate and nicotinamide metabolism
HMR_4271,Transport reactions
HMR_4274,Transport reactions
HMR_4276,Nicotinate and nicotinamide metabolism
HMR_4277,Transport reactions
HMR_4278,Nicotinate and nicotinamide metabolism
HMR_4280,Pyruvate metabolism
HMR_4281,Glycolysis / Gluconeogenesis
HMR_4282,Propanoate metabolism
HMR_4283,Glycolysis / Gluconeogenesis
HMR_4285,"Alanine, aspartate and glutamate metabolism"
HMR_4287,"Alanine, aspartate and glutamate metabolism"
HMR_4288,Lysine metabolism
HMR_4290,Purine metabolism
HMR_4291,Purine metabolism
HMR_4297,Fructose and mannose metabolism
HMR_4299,Amino sugar and nucleotide sugar metabolism
HMR_4300,Amino sugar and nucleotide sugar metabolism
HMR_4301,Glycolysis / Gluconeogenesis
HMR_4302,Cysteine and methionine metabolism
HMR_4303,Galactose metabolism
HMR_4304,Pentose phosphate pathway
HMR_4306,Pentose phosphate pathway
HMR_4308,Inositol phosphate metabolism
HMR_4312,Transport reactions
HMR_4315,Fructose and mannose metabolism
HMR_4316,Fructose and mannose metabolism
HMR_4319,Fructose and mannose metabolism
HMR_4321,Transport reactions
HMR_4324,Glutathione metabolism
HMR_4326,Glutathione metabolism
HMR_4328,Glutathione metabolism
HMR_4329,Glutathione metabolism
HMR_4330,Beta-alanine metabolism
HMR_4331,Propanoate metabolism
HMR_4332,Folate metabolism
HMR_4333,Folate metabolism
HMR_4335,Folate metabolism
HMR_4336,Folate metabolism
HMR_4338,Folate metabolism
HMR_4340,Folate metabolism
HMR_4342,Nucleotide metabolism
HMR_4343,Pyrimidine metabolism
HMR_4345,Pyrimidine metabolism
HMR_4346,Pyrimidine metabolism
HMR_4351,Pentose phosphate pathway
HMR_4352,Pentose phosphate pathway
HMR_4354,Pentose phosphate pathway
HMR_4355,Glycolysis / Gluconeogenesis
HMR_4358,Glycolysis / Gluconeogenesis
HMR_4360,Glycolysis / Gluconeogenesis
HMR_4363,Glycolysis / Gluconeogenesis
HMR_4365,Glycolysis / Gluconeogenesis
HMR_4368,Glycolysis / Gluconeogenesis
HMR_4371,Glycolysis / Gluconeogenesis
HMR_4372,Glycolysis / Gluconeogenesis
HMR_4373,Glycolysis / Gluconeogenesis
HMR_4375,Glycolysis / Gluconeogenesis
HMR_4379,Glycolysis / Gluconeogenesis
HMR_4381,Glycolysis / Gluconeogenesis
HMR_4383,Fructose and mannose metabolism
HMR_4385,Fructose and mannose metabolism
HMR_4386,Fructose and mannose metabolism
HMR_4387,Fructose and mannose metabolism
HMR_4388,Glycolysis / Gluconeogenesis
HMR_4391,Glycolysis / Gluconeogenesis
HMR_4393,Transport reactions
HMR_4394,Glycolysis / Gluconeogenesis
HMR_4396,Glycolysis / Gluconeogenesis
HMR_4398,Pentose phosphate pathway
HMR_4399,Fructose and mannose metabolism
HMR_4400,Fructose and mannose metabolism
HMR_4401,Fructose and mannose metabolism
HMR_4402,Fructose and mannose metabolism
HMR_4404,Pentose phosphate pathway
HMR_4406,Purine metabolism
HMR_4408,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4410,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4412,Purine metabolism
HMR_4414,Galactose metabolism
HMR_4415,Galactose metabolism
HMR_4416,Galactose metabolism
HMR_4417,Purine metabolism
HMR_4418,Purine metabolism
HMR_4419,Purine metabolism
HMR_4420,Purine metabolism
HMR_4421,Purine metabolism
HMR_4422,Arginine and proline metabolism
HMR_4425,Beta-alanine metabolism
HMR_4427,Beta-alanine metabolism
HMR_4428,Histidine metabolism
HMR_4429,Histidine metabolism
HMR_4430,Histidine metabolism
HMR_4431,Histidine metabolism
HMR_4435,Transport reactions
HMR_4440,Folate metabolism
HMR_4442,Folate metabolism
HMR_4444,Folate metabolism
HMR_4446,Folate metabolism
HMR_4448,Folate metabolism
HMR_4449,Purine metabolism
HMR_4450,Purine metabolism
HMR_4451,Purine metabolism
HMR_4452,Purine metabolism
HMR_4453,Purine metabolism
HMR_4454,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4456,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4458,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4459,Propanoate metabolism
HMR_4460,Propanoate metabolism
HMR_4461,Butanoate metabolism
HMR_4465,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4470,Pyrimidine metabolism
HMR_4471,Pyrimidine metabolism
HMR_4472,Pyrimidine metabolism
HMR_4473,Pentose phosphate pathway
HMR_4474,Pentose phosphate pathway
HMR_4476,Pentose phosphate pathway
HMR_4477,Pentose phosphate pathway
HMR_4480,Purine metabolism
HMR_4481,Purine metabolism
HMR_4482,Purine metabolism
HMR_4483,Nucleotide metabolism
HMR_4484,Pyrimidine metabolism
HMR_4485,Pyrimidine metabolism
HMR_4486,Purine metabolism
HMR_4487,Purine metabolism
HMR_4488,Purine metabolism
HMR_4489,Purine metabolism
HMR_4490,Fructose and mannose metabolism
HMR_4492,Purine metabolism
HMR_4493,Purine metabolism
HMR_4494,Amino sugar and nucleotide sugar metabolism
HMR_4495,Purine metabolism
HMR_4496,Purine metabolism
HMR_4497,Propanoate metabolism
HMR_4500,Pantothenate and CoA biosynthesis
HMR_4501,Pentose phosphate pathway
HMR_4503,Folate metabolism
HMR_4505,Folate metabolism
HMR_4507,Nucleotide metabolism
HMR_4510,Pyrimidine metabolism
HMR_4512,Pyrimidine metabolism
HMR_4513,Pyrimidine metabolism
HMR_4514,Pyrimidine metabolism
HMR_4516,Nucleotide metabolism
HMR_4519,Purine metabolism
HMR_4520,Purine metabolism
HMR_4521,Glycolysis / Gluconeogenesis
HMR_4523,Biopterin metabolism
HMR_4524,Amino sugar and nucleotide sugar metabolism
HMR_4525,Amino sugar and nucleotide sugar metabolism
HMR_4526,Amino sugar and nucleotide sugar metabolism
HMR_4528,Amino sugar and nucleotide sugar metabolism
HMR_4529,Amino sugar and nucleotide sugar metabolism
HMR_4530,Amino sugar and nucleotide sugar metabolism
HMR_4532,Amino sugar and nucleotide sugar metabolism
HMR_4535,Transport reactions
HMR_4536,Amino sugar and nucleotide sugar metabolism
HMR_4537,Serotonin and melatonin biosynthesis
HMR_4539,Biopterin metabolism
HMR_4540,Biopterin metabolism
HMR_4541,Biopterin metabolism
HMR_4542,Biopterin metabolism
HMR_4543,Biopterin metabolism
HMR_4544,Biopterin metabolism
HMR_4545,Serotonin and melatonin biosynthesis
HMR_4548,Serotonin and melatonin biosynthesis
HMR_4558,Serotonin and melatonin biosynthesis
HMR_4559,Serotonin and melatonin biosynthesis
HMR_4560,Serotonin and melatonin biosynthesis
HMR_4561,Serotonin and melatonin biosynthesis
HMR_4563,Serotonin and melatonin biosynthesis
HMR_4565,Pentose phosphate pathway
HMR_4567,Pentose phosphate pathway
HMR_4568,Pentose phosphate pathway
HMR_4570,Purine metabolism
HMR_4572,Purine metabolism
HMR_4573,Purine metabolism
HMR_4574,Purine metabolism
HMR_4575,Pyrimidine metabolism
HMR_4577,Pyrimidine metabolism
HMR_4579,Pyrimidine metabolism
HMR_4580,Pyrimidine metabolism
HMR_4583,Arginine and proline metabolism
HMR_4584,"Glycine, serine and threonine metabolism"
HMR_4585,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4586,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4587,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4588,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4589,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4590,Pentose and glucuronate interconversions
HMR_4591,Pentose and glucuronate interconversions
HMR_4592,Pentose and glucuronate interconversions
HMR_4593,Pentose and glucuronate interconversions
HMR_4595,Pentose and glucuronate interconversions
HMR_4596,Lysine metabolism
HMR_4597,Lysine metabolism
HMR_4599,Lysine metabolism
HMR_4600,Purine metabolism
HMR_4601,Nucleotide metabolism
HMR_4602,Purine metabolism
HMR_4603,Purine metabolism
HMR_4604,Butanoate metabolism
HMR_4606,Arginine and proline metabolism
HMR_4607,Arginine and proline metabolism
HMR_4608,Pyrimidine metabolism
HMR_4611,Purine metabolism
HMR_4612,Purine metabolism
HMR_4614,Purine metabolism
HMR_4615,Purine metabolism
HMR_4617,Purine metabolism
HMR_4618,Purine metabolism
HMR_4619,Purine metabolism
HMR_4621,Purine metabolism
HMR_4623,Pentose phosphate pathway
HMR_4625,Pentose phosphate pathway
HMR_4628,Amino sugar and nucleotide sugar metabolism
HMR_4629,Amino sugar and nucleotide sugar metabolism
HMR_4630,Cholesterol metabolism
HMR_4631,Amino sugar and nucleotide sugar metabolism
HMR_4632,Purine metabolism
HMR_4633,Nucleotide metabolism
HMR_4635,Pyrimidine metabolism
HMR_4637,Pyrimidine metabolism
HMR_4640,Nucleotide metabolism
HMR_4641,Nucleotide metabolism
HMR_4642,Pyrimidine metabolism
HMR_4643,Pyrimidine metabolism
HMR_4644,Pyrimidine metabolism
HMR_4646,Purine metabolism
HMR_4648,Purine metabolism
HMR_4649,Purine metabolism
HMR_4650,Purine metabolism
HMR_4651,Purine metabolism
HMR_4652,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_4654,Folate metabolism
HMR_4655,Folate metabolism
HMR_4656,Folate metabolism
HMR_4657,Porphyrin metabolism
HMR_4662,Nicotinate and nicotinamide metabolism
HMR_4663,Purine metabolism
HMR_4664,Purine metabolism
HMR_4667,Lysine metabolism
HMR_4668,Lysine metabolism
HMR_4670,Pyrimidine metabolism
HMR_4673,Pyrimidine metabolism
HMR_4675,Pyrimidine metabolism
HMR_4676,Pyrimidine metabolism
HMR_4679,Bile acid biosynthesis
HMR_4680,Nucleotide metabolism
HMR_4681,Tyrosine metabolism
HMR_4682,Tyrosine metabolism
HMR_4683,Tyrosine metabolism
HMR_4685,Tyrosine metabolism
HMR_4686,Tyrosine metabolism
HMR_4687,Tyrosine metabolism
HMR_4689,Beta-alanine metabolism
HMR_4690,"Alanine, aspartate and glutamate metabolism"
HMR_4691,Transport reactions
HMR_4692,Transport reactions
HMR_4693,"Alanine, aspartate and glutamate metabolism"
HMR_4694,Purine metabolism
HMR_4695,Purine metabolism
HMR_4696,"Glycine, serine and threonine metabolism"
HMR_4697,"Glycine, serine and threonine metabolism"
HMR_4698,"Glycine, serine and threonine metabolism"
HMR_4700,"Glycine, serine and threonine metabolism"
HMR_4702,Tyrosine metabolism
HMR_4703,Tyrosine metabolism
HMR_4704,Tyrosine metabolism
HMR_4705,Purine metabolism
HMR_4706,Fructose and mannose metabolism
HMR_4708,Glutathione metabolism
HMR_4709,Purine metabolism
HMR_4710,Pentose phosphate pathway
HMR_4714,Pantothenate and CoA biosynthesis
HMR_4715,Pantothenate and CoA biosynthesis
HMR_4716,Pantothenate and CoA biosynthesis
HMR_4717,Pantothenate and CoA biosynthesis
HMR_4718,Pantothenate and CoA biosynthesis
HMR_4720,Transport reactions
HMR_4721,Transport reactions
HMR_4723,Pantothenate and CoA biosynthesis
HMR_4725,Pantothenate and CoA biosynthesis
HMR_4727,Pantothenate and CoA biosynthesis
HMR_4729,Transport reactions
HMR_4730,Pantothenate and CoA biosynthesis
HMR_4731,Pantothenate and CoA biosynthesis
HMR_4733,Pantothenate and CoA biosynthesis
HMR_4734,Pantothenate and CoA biosynthesis
HMR_4735,Beta-alanine metabolism
HMR_4737,Lysine metabolism
HMR_4738,Transport reactions
HMR_4739,Lysine metabolism
HMR_4741,Propanoate metabolism
HMR_4742,"Glycine, serine and threonine metabolism"
HMR_4743,Transport reactions
HMR_4744,Porphyrin metabolism
HMR_4746,Porphyrin metabolism
HMR_4748,Porphyrin metabolism
HMR_4750,Porphyrin metabolism
HMR_4752,Porphyrin metabolism
HMR_4754,Transport reactions
HMR_4755,Porphyrin metabolism
HMR_4756,Transport reactions
HMR_4757,Porphyrin metabolism
HMR_4758,Porphyrin metabolism
HMR_4760,Transport reactions
HMR_4764,Porphyrin metabolism
HMR_4765,Transport reactions
HMR_4766,Steroid metabolism
HMR_4771,Porphyrin metabolism
HMR_4772,Porphyrin metabolism
HMR_4774,Galactose metabolism
HMR_4775,Galactose metabolism
HMR_4776,Arginine and proline metabolism
HMR_4777,Arginine and proline metabolism
HMR_4778,Arginine and proline metabolism
HMR_4779,Arginine and proline metabolism
HMR_4780,Arginine and proline metabolism
HMR_4781,Arginine and proline metabolism
HMR_4784,Arginine and proline metabolism
HMR_4785,Arginine and proline metabolism
HMR_4786,Arginine and proline metabolism
HMR_4787,Arginine and proline metabolism
HMR_4792,"Glycine, serine and threonine metabolism"
HMR_4796,Leukotriene metabolism
HMR_4797,"Valine, leucine, and isoleucine metabolism"
HMR_4799,Purine metabolism
HMR_4802,Purine metabolism
HMR_4804,Purine metabolism
HMR_4806,Nucleotide metabolism
HMR_4808,Purine metabolism
HMR_4810,Purine metabolism
HMR_4812,Purine metabolism
HMR_4814,Purine metabolism
HMR_4817,Biopterin metabolism
HMR_4818,Biopterin metabolism
HMR_4832,Galactose metabolism
HMR_4833,Biopterin metabolism
HMR_4834,Biopterin metabolism
HMR_4835,Biopterin metabolism
HMR_4836,Biopterin metabolism
HMR_4841,Pentose phosphate pathway
HMR_4843,Transport reactions
HMR_4844,Transport reactions
HMR_4847,Transport reactions
HMR_4848,Transport reactions
HMR_4851,Transport reactions
HMR_4852,Transport reactions
HMR_4854,Transport reactions
HMR_4855,Transport reactions
HMR_4856,Transport reactions
HMR_4858,Transport reactions
HMR_4862,Transport reactions
HMR_4863,Transport reactions
HMR_4864,Transport reactions
HMR_4865,Transport reactions
HMR_4867,Transport reactions
HMR_4868,Transport reactions
HMR_4870,Transport reactions
HMR_4871,Transport reactions
HMR_4872,Transport reactions
HMR_4878,Transport reactions
HMR_4880,Transport reactions
HMR_4881,Transport reactions
HMR_4882,Transport reactions
HMR_4885,Transport reactions
HMR_4887,Transport reactions
HMR_4892,Transport reactions
HMR_4894,Transport reactions
HMR_4896,Transport reactions
HMR_4898,Transport reactions
HMR_4900,Transport reactions
HMR_4906,Transport reactions
HMR_4907,Transport reactions
HMR_4908,Transport reactions
HMR_4911,Transport reactions
HMR_4912,Transport reactions
HMR_4914,Transport reactions
HMR_4919,Transport reactions
HMR_4922,Transport reactions
HMR_4926,Transport reactions
HMR_4928,Transport reactions
HMR_4930,Transport reactions
HMR_4931,Transport reactions
HMR_4932,Transport reactions
HMR_4933,Transport reactions
HMR_4935,Transport reactions
HMR_4940,Transport reactions
HMR_4942,Transport reactions
HMR_4944,Transport reactions
HMR_4946,Transport reactions
HMR_4947,Transport reactions
HMR_4953,Transport reactions
HMR_4954,Transport reactions
HMR_4956,Transport reactions
HMR_4963,Transport reactions
HMR_4964,Transport reactions
HMR_4969,Transport reactions
HMR_4971,Transport reactions
HMR_4972,Transport reactions
HMR_4973,Transport reactions
HMR_4976,Transport reactions
HMR_4977,Transport reactions
HMR_4979,Transport reactions
HMR_4980,Transport reactions
HMR_4985,Transport reactions
HMR_4986,Transport reactions
HMR_4992,Transport reactions
HMR_4993,Transport reactions
HMR_4996,Transport reactions
HMR_4997,Transport reactions
HMR_5000,Transport reactions
HMR_5003,Transport reactions
HMR_5004,Transport reactions
HMR_5005,Transport reactions
HMR_5006,Transport reactions
HMR_5007,Transport reactions
HMR_5008,Transport reactions
HMR_5010,Transport reactions
HMR_5016,Transport reactions
HMR_5018,Transport reactions
HMR_5021,Transport reactions
HMR_5022,Transport reactions
HMR_5027,Transport reactions
HMR_5029,Transport reactions
HMR_5031,Transport reactions
HMR_5032,Transport reactions
HMR_5033,Transport reactions
HMR_5034,Transport reactions
HMR_5035,Transport reactions
HMR_5036,Transport reactions
HMR_5037,Transport reactions
HMR_5042,Transport reactions
HMR_5043,Transport reactions
HMR_5046,Transport reactions
HMR_5047,Transport reactions
HMR_5048,Transport reactions
HMR_5049,Transport reactions
HMR_5050,Transport reactions
HMR_5051,Transport reactions
HMR_5052,Transport reactions
HMR_5053,Transport reactions
HMR_5054,Transport reactions
HMR_5055,Transport reactions
HMR_5056,Transport reactions
HMR_5057,Transport reactions
HMR_5058,Transport reactions
HMR_5059,Transport reactions
HMR_5060,Transport reactions
HMR_5061,Transport reactions
HMR_5062,Transport reactions
HMR_5063,Transport reactions
HMR_5064,Transport reactions
HMR_5065,Transport reactions
HMR_5066,Transport reactions
HMR_5067,Transport reactions
HMR_5068,Transport reactions
HMR_5070,Transport reactions
HMR_5071,Transport reactions
HMR_5073,Transport reactions
HMR_5074,Transport reactions
HMR_5076,Transport reactions
HMR_5077,Transport reactions
HMR_5078,Transport reactions
HMR_5079,Transport reactions
HMR_5080,Transport reactions
HMR_5082,Transport reactions
HMR_5084,Transport reactions
HMR_5085,Transport reactions
HMR_5087,Transport reactions
HMR_5088,Transport reactions
HMR_5089,Transport reactions
HMR_5091,Transport reactions
HMR_5092,Transport reactions
HMR_5094,Transport reactions
HMR_5105,Transport reactions
HMR_5113,Transport reactions
HMR_5114,Transport reactions
HMR_5122,Transport reactions
HMR_5124,Transport reactions
HMR_5130,Aminoacyl-tRNA biosynthesis
HMR_5131,Aminoacyl-tRNA biosynthesis
HMR_5132,Aminoacyl-tRNA biosynthesis
HMR_5133,Aminoacyl-tRNA biosynthesis
HMR_5134,Aminoacyl-tRNA biosynthesis
HMR_5135,Aminoacyl-tRNA biosynthesis
HMR_5136,Aminoacyl-tRNA biosynthesis
HMR_5137,Aminoacyl-tRNA biosynthesis
HMR_5138,Aminoacyl-tRNA biosynthesis
HMR_5139,Aminoacyl-tRNA biosynthesis
HMR_5140,Aminoacyl-tRNA biosynthesis
HMR_5141,Aminoacyl-tRNA biosynthesis
HMR_5142,Aminoacyl-tRNA biosynthesis
HMR_5143,Aminoacyl-tRNA biosynthesis
HMR_5145,Aminoacyl-tRNA biosynthesis
HMR_5146,Aminoacyl-tRNA biosynthesis
HMR_5147,Aminoacyl-tRNA biosynthesis
HMR_5148,Aminoacyl-tRNA biosynthesis
HMR_5149,Aminoacyl-tRNA biosynthesis
HMR_5150,Aminoacyl-tRNA biosynthesis
HMR_5151,Protein assembly
HMR_5153,Protein assembly
HMR_5155,Protein assembly
HMR_5156,Protein assembly
HMR_5166,Protein assembly
HMR_5169,Protein assembly
HMR_5204,Transport reactions
HMR_5214,Transport reactions
HMR_5222,Transport reactions
HMR_5237,Transport reactions
HMR_5238,Pool reactions
HMR_5241,Transport reactions
HMR_5246,Transport reactions
HMR_5247,Pool reactions
HMR_5252,Transport reactions
HMR_5254,Glycerolipid metabolism
HMR_5267,Protein degradation
HMR_5274,Protein degradation
HMR_5282,Protein degradation
HMR_5284,Protein degradation
HMR_5292,Transport reactions
HMR_5294,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_5295,Transport reactions
HMR_5296,Transport reactions
HMR_5297,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
HMR_5299,Pyrimidine metabolism
HMR_5301,Purine metabolism
HMR_5305,Transport reactions
HMR_5308,Transport reactions
HMR_5311,Transport reactions
HMR_5314,Transport reactions
HMR_5315,Transport reactions
HMR_5316,Transport reactions
HMR_5317,Transport reactions
HMR_5318,Transport reactions
HMR_5319,Transport reactions
HMR_5320,Transport reactions
HMR_5322,Transport reactions
HMR_5324,Transport reactions
HMR_5326,Transport reactions
HMR_5328,Transport reactions
HMR_5330,Transport reactions
HMR_5333,Transport reactions
HMR_5338,Histidine metabolism
HMR_5339,Histidine metabolism
HMR_5348,Transport reactions
HMR_5349,Transport reactions
HMR_5351,Butanoate metabolism
HMR_5352,Pyrimidine metabolism
HMR_5353,Purine metabolism
HMR_5363,Miscellaneous
HMR_5384,Arginine and proline metabolism
HMR_5385,Cysteine and methionine metabolism
HMR_5386,Cysteine and methionine metabolism
HMR_5387,Cysteine and methionine metabolism
HMR_5389,Cysteine and methionine metabolism
HMR_5392,"Glycine, serine and threonine metabolism"
HMR_5393,"Glycine, serine and threonine metabolism"
HMR_5395,Starch and sucrose metabolism
HMR_5396,Starch and sucrose metabolism
HMR_5397,Starch and sucrose metabolism
HMR_5398,Starch and sucrose metabolism
HMR_5399,Starch and sucrose metabolism
HMR_5400,Starch and sucrose metabolism
HMR_5401,Starch and sucrose metabolism
HMR_5406,Miscellaneous
HMR_5407,Nitrogen metabolism
HMR_5411,Transport reactions
HMR_5413,Transport reactions
HMR_5420,Transport reactions
HMR_5429,Transport reactions
HMR_5430,Transport reactions
HMR_5432,Transport reactions
HMR_5442,Transport reactions
HMR_5443,Transport reactions
HMR_5444,Transport reactions
HMR_5445,Transport reactions
HMR_5446,Transport reactions
HMR_5447,Transport reactions
HMR_5451,Transport reactions
HMR_5452,Transport reactions
HMR_5454,Transport reactions
HMR_5455,Transport reactions
HMR_5458,Transport reactions
HMR_5459,Transport reactions
HMR_5460,Transport reactions
HMR_5461,Transport reactions
HMR_5462,Transport reactions
HMR_5463,Transport reactions
HMR_5464,Transport reactions
HMR_5465,Transport reactions
HMR_5466,Transport reactions
HMR_5467,Transport reactions
HMR_5468,Transport reactions
HMR_5469,Transport reactions
HMR_5470,Transport reactions
HMR_5471,Transport reactions
HMR_5472,Transport reactions
HMR_5473,Transport reactions
HMR_5474,Transport reactions
HMR_5475,Transport reactions
HMR_5476,Transport reactions
HMR_5477,Transport reactions
HMR_5478,Transport reactions
HMR_5479,Transport reactions
HMR_5480,Transport reactions
HMR_5481,Transport reactions
HMR_5482,Transport reactions
HMR_5483,Transport reactions
HMR_5484,Transport reactions
HMR_5485,Transport reactions
HMR_5486,Transport reactions
HMR_5487,Transport reactions
HMR_5488,Transport reactions
HMR_5489,Transport reactions
HMR_5490,Transport reactions
HMR_5491,Transport reactions
HMR_5492,Transport reactions
HMR_5493,Transport reactions
HMR_5494,Transport reactions
HMR_5495,Transport reactions
HMR_5496,Transport reactions
HMR_5497,Transport reactions
HMR_5498,Transport reactions
HMR_5499,Transport reactions
HMR_5500,Transport reactions
HMR_5501,Transport reactions
HMR_5502,Transport reactions
HMR_5503,Transport reactions
HMR_5504,Transport reactions
HMR_5505,Transport reactions
HMR_5506,Transport reactions
HMR_5507,Transport reactions
HMR_5508,Transport reactions
HMR_5509,Transport reactions
HMR_5510,Transport reactions
HMR_5511,Transport reactions
HMR_5512,Transport reactions
HMR_5513,Transport reactions
HMR_5514,Transport reactions
HMR_5515,Transport reactions
HMR_5516,Transport reactions
HMR_5517,Transport reactions
